iter	Logloss
0	0.6712861315
1	0.6538916804
2	0.6389846996
3	0.6268536247
4	0.6165588524
5	0.6078984262
6	0.6008091172
7	0.5945901853
8	0.5898529482
9	0.5852683963
10	0.5813961162
11	0.577973835
12	0.5748379509
13	0.5719085566
14	0.5697405942
15	0.5676972716
16	0.5657963795
17	0.5640955324
18	0.5622379348
19	0.5609493642
20	0.5594657572
21	0.5584710446
22	0.5572876726
23	0.5564137597
24	0.5553957519
25	0.5544483125
26	0.5535483564
27	0.552676679
28	0.5518593441
29	0.5513261394
30	0.5506440934
31	0.5502754483
32	0.5495605723
33	0.5487224081
34	0.548144224
35	0.5475782765
36	0.5470401339
37	0.5465763276
38	0.54626096
39	0.5460131487
40	0.5456409447
41	0.5451327913
42	0.5446626706
43	0.5442656442
44	0.5438522023
45	0.543388959
46	0.5431064156
47	0.5427676913
48	0.54253946
49	0.5422004984
50	0.5419003822
51	0.5416321595
52	0.5413840686
53	0.5411494146
54	0.5408697012
55	0.5405818848
56	0.54044976
57	0.5401866116
58	0.5399304528
59	0.5397176037
60	0.5394465686
61	0.5391979813
62	0.5390323682
63	0.5388480465
64	0.5387118413
65	0.5384811698
66	0.538270097
67	0.5380514268
68	0.5379507132
69	0.5377604384
70	0.5376012294
71	0.5373471651
72	0.537181011
73	0.5371011389
74	0.5368835745
75	0.5366708652
76	0.5364606892
77	0.5363194158
78	0.5361722798
79	0.5359595335
80	0.5358141388
81	0.5357024483
82	0.5356065176
83	0.5354806881
84	0.5353181826
85	0.535060222
86	0.5349325629
87	0.5348268473
88	0.5346278568
89	0.5344659212
90	0.5343406535
91	0.5341766844
92	0.5340309113
93	0.5339287417
94	0.5337386551
95	0.533647962
96	0.5335112422
97	0.533407355
98	0.5333019994
99	0.5331759612
100	0.5330466328
101	0.5329366247
102	0.5327600217
103	0.5326540259
104	0.5324219993
105	0.5321997569
106	0.5320746825
107	0.5319779047
108	0.5318979881
109	0.5317628495
110	0.5316027403
111	0.5315215871
112	0.5314069352
113	0.5312868011
114	0.5310745729
115	0.5309618245
116	0.5308881553
117	0.5307923062
118	0.5306665966
119	0.5305924799
120	0.530477561
121	0.5303415388
122	0.5302615292
123	0.5301467908
124	0.5300048795
125	0.529890686
126	0.5297683331
127	0.5296526512
128	0.5295432453
129	0.5294423775
130	0.5293453029
131	0.5292468173
132	0.5291678877
133	0.5290734449
134	0.5289433447
135	0.5288933495
136	0.5287548345
137	0.5286439808
138	0.5285657259
139	0.5285129058
140	0.5283528994
141	0.5282548744
142	0.5281021977
143	0.5280049447
144	0.5278486197
145	0.5276924075
146	0.5276062568
147	0.527547297
148	0.5274619749
149	0.5273645293
150	0.5272877253
151	0.5271585482
152	0.5270337348
153	0.5269591273
154	0.5268751195
155	0.5267742376
156	0.5266644029
157	0.5265500008
158	0.5264495441
159	0.5262881467
160	0.5261558717
161	0.5260528099
162	0.5259019187
163	0.5258045918
164	0.5257013172
165	0.5256209859
166	0.5254927342
167	0.5254087949
168	0.525343579
169	0.5251998247
170	0.5251066721
171	0.5250015095
172	0.5249560965
173	0.5248449593
174	0.524774527
175	0.5247221893
176	0.524617766
177	0.5244961507
178	0.524406818
179	0.5243170742
180	0.524257034
181	0.5241802287
182	0.5240933828
183	0.5240073159
184	0.5239505817
185	0.5238707784
186	0.5237864439
187	0.5237511467
188	0.5236627536
